hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2347,Great Cockup,34A,2328,5;Dew;sHu;W; B;Sy;Fel,526,NY273333,54.689677,-3.128766,1
2348,Souther Fell,34A,2320,5;Dew;W;B; Sy;Fel,522,NY354291,54.653236,-3.001663,1
2349,Dodd (Skiddaw),34A,2319,Hu;5;Dew;W; B;Sy;Fel,502,NY244273,54.63561,-3.172122,1
2350,Longlands Fell,34A,2328,4;W;B;Sy; Fel,483,NY275354,54.708411,-3.125313,1
2351,Binsey,34A,,Ma;4;W;B; Sy;Fel,447,NY225355,54.708795,-3.204188,1
2352,Latrigg,34A,2319,3;W;B;Sy; Fel,368,NY279247,54.6123,-3.117565,1
2353,Faulds Brow,34A,2328,WO;Sy,344,NY299407,54.7565,-3.090144,0
2354,St. John's Hill [Caermote Hill N Top],34A,2351,WO,285,NY196376,54.727574,-3.249918,0
2355,Watch Hill [Setmurthy Common],34A,,Ma;2;WO,254,NY159318,54.674412,-3.305448,0
2356,Clints Crags (Wainwright summit),34A,2351,WO,245,NY159352,54.705329,-3.306286,0
2357,Dunmallet [Dunmallard Hill],34C,2598,2;WO,240,NY467246,54.614076,-2.825628,0
2358,Watch Hill,34A,2355,WO,235,NY149318,54.674803,-3.319931,0
2359,Scafell Pike,34B,,Ma;F;Sim;Hew; N;W;B;Sy,978.07,NY215072,54.454263,-3.211682,1
2360,Scafell,34B,2359,Hu;F;Sim;Hew; N;W;B;Sy,963.9,NY206064,54.447498,-3.224731,1
2364,Great End,34B,2359,Sim;Hew;N;W; B;Sy;Fel,909.5,NY226083,54.46494,-3.194548,1
2365,Bowfell,34B,2359,Hu;Sim;Hew;N; sMa;W;B;Sy,902.9,NY244064,54.447834,-3.166227,1
2367,Great Gable,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,899,NY211103,54.482084,-3.219296,1
2368,Pillar,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,892,NY171121,54.497479,-3.281134,1
2369,Esk Pike,34B,2359,Hu;Sim;Hew;N; W;B;Sy;Fel,885,NY236075,54.457172,-3.179219,1
2371,Crinkle Crags - Long Top [Second Crinkle],34B,2359,Hu;Sim;Hew;N; W;B;Sy;Fel,859,NY248048,54.433704,-3.159813,1
2372,Grasmoor,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,851.6,NY174203,54.571635,-3.277905,1
2373,Scoat Fell,34B,2368,Sim;Hew;N;W; B;Sy;Fel,841,NY159113,54.490904,-3.299224,1
2374,Crag Hill [Eel Crag],34B,2372,Hu;Sim;Hew;N; W;B;Sy;Fel,839.2,NY192203,54.571762,-3.250234,1
2378,Red Pike (Wasdale),34B,2368,Sim;Hew;N;W; B;Sy;Fel,826,NY165106,54.483922,-3.289879,1
2379,Steeple,34B,2368,N;sSim;W;B; Sy;Fel,819,NY157116,54.493389,-3.302174,1
2382,Lingmell,34B,2359,Sim;Hew;N;W; B;Sy;Fel,807,NY209081,54.462803,-3.2213,1
2383,Kirk Fell,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,802,NY194104,54.483323,-3.244123,1
2384,Green Gable,34B,2367,Sim;Hew;N;W; B;Sy;Fel,801,NY214107,54.485699,-3.213769,1
2385,Haycock,34B,2368,Sim;Hew;N;sHu; W;B;Sy;Fel,797,NY144107,54.484568,-3.321576,1
2386,Grisedale Pike,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,791,NY198225,54.591745,-3.242071,1
2388,Allen Crags,34B,2359,Sim;Hew;N;W; B;Sy;Fel,785,NY236085,54.466367,-3.179175,1
2389,Glaramara,34B,2359,Hu;Sim;Hew;N; W;B;Sy;Fel,783,NY245104,54.483839,-3.165338,1
2393,Sail,34B,2372,Sim;Hew;N;W; B;Sy;Fel,773,NY198202,54.571328,-3.241821,1
2394,Wandope,34B,2372,Sim;Hew;N;W; B;Sy;Fel,773.9,NY188197,54.566272,-3.257089,1
